Ingredient,Amount
Red onion,1
Garlic,3 cloves
Tofu,200g
Red chilli,1
Spring greens,200g
Vegetable oil,1 tbsp
Ground coriander,1 tbsp
Ground cumin,2 tsp
Cayenne pepper,0.5 tsp
Turmeric,1 tsp
Tinned tomatoes,400g
Olive oil,2 tbsp
Chickpeas,400g
Paprika,2 tsp
Lemon,0.5
Cumin seeds,2 tsp
Garam masala,2 tsp
